Time,windSpeed (m/s),windDic (degree)
2018-12-01 00:00,2.77218,348.166
2018-12-01 01:00,2.76232,338.487
2018-12-01 02:00,2.34731,335.557
2018-12-01 03:00,2.35299,325.615
2018-12-01 04:00,3.60255,295.805
2018-12-01 05:00,5.14281,298.214
2018-12-01 06:00,4.46761,306.901
2018-12-01 07:00,4.311945,321.364
2018-12-01 08:00,3.992505,326.1405
2018-12-01 09:00,3.78515,331.353
2018-12-01 10:00,3.641165,332.282
2018-12-01 11:00,3.332335,328.4865
2018-12-01 12:00,3.406773333,337.3933333
2018-12-01 13:00,3.591163333,330.172
2018-12-01 14:00,3.922896667,322.1943333
2018-12-01 15:00,3.75981,321.7373333
2018-12-01 16:00,3.502043333,319.3996667
2018-12-01 17:00,3.43225,313.9036667
2018-12-01 18:00,3.3698825,320.81025
2018-12-01 19:00,3.3367075,328.15625
2018-12-01 20:00,3.2601925,338.6065
2018-12-01 21:00,2.712005,336.192
2018-12-01 22:00,1.97251,319.30425
2018-12-01 23:00,1.393458,314.01875
2018-12-02 00:00,1.597941,273.9432
