farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,windDic_cat,season,Months,windspeed_cat,preds
A,39.0,39.7497,38.110701092767805,37.6985527899778,37.24369705711244,33.7387223316539,36.57585464187302,SE,Winter,Dec,low,33.441425
A,39.0,38.559,38.014229399847416,37.7221634825899,37.23870451331551,33.51749382487638,36.42036571756429,SE,Winter,Dec,low,33.475517
A,39.0,38.559,37.917757706927,37.74016564993557,37.233662915918984,33.28891389052719,36.2559784141325,SE,Winter,Dec,low,33.54749
A,37.5,36.7792,37.82128601400659,37.75255929201482,37.22857226492287,33.05298252860632,36.08269273157765,SE,Winter,Dec,low,33.870384
A,37.5,36.7792,37.7248143210862,37.759344408827666,37.22343256032716,32.80969973911378,35.90050866989974,SE,Winter,Dec,low,33.868088
A,34.4,37.1902,37.6283426281658,37.76052100037409,37.218243802131866,32.559065522049565,35.70942622909878,SE,Winter,Dec,low,34.37889
A,34.5,37.1902,37.53187093524538,37.756089066654106,37.21300599033698,32.30107987741368,35.50944540917476,SE,Winter,Dec,low,34.286972
A,34.8,38.8381,37.43539924232496,37.746048607667696,37.20771912494251,32.03574280520612,35.30056621012768,SE,Winter,Dec,low,34.201267
A,34.5,38.8381,37.33892754940457,37.730399623414876,37.202383205948436,31.76305430542689,35.08278863195754,SE,Winter,Dec,low,33.88993
A,33.9,34.8429,37.24245585648416,37.709142113895645,37.196998233354776,31.48301437807599,34.856112674664345,SE,Winter,Dec,low,33.387524
A,30.0,34.8429,37.14598416356375,37.68227607910999,37.19156420716153,31.195623023153413,34.62053833824809,SE,Winter,Dec,low,30.065996
A,20.1,31.7893,37.04951247064336,37.649801519057924,37.18608112736868,30.883265275736566,34.376065622708786,SE,Winter,Dec,low,23.465385
A,15.7,31.104,36.87677478576078,37.61171843373944,37.18054899397625,30.567841394505574,34.12269452804642,SE,Winter,Dec,low,20.342154
A,10.4,29.672,36.692776386970195,37.57049502072321,37.16899791604441,30.24958597766684,33.867007390170414,SE,Winter,Dec,low,17.570515
A,9.0,28.9291,36.50877798817961,37.526131280009224,37.15142789357317,29.928499025220376,33.60900420908077,SE,Winter,Dec,low,16.40196
A,10.0,35.3709,36.32477958938903,37.478627211597484,37.12783892656252,29.604580537166175,33.34868498477749,SE,Winter,Dec,low,16.291214
A,9.0,35.8697,36.140781190598446,37.427982815487994,37.09823101501246,29.27783051350424,33.08604971726057,SE,Winter,Dec,low,15.197016
A,7.2,37.5728,35.956782791807875,37.374198091680746,37.062604158923,28.948248954234575,32.82109840653002,SE,Winter,Dec,low,13.803277
A,7.5,37.5728,35.7727843930173,37.317273040175756,37.02095835829413,28.615835859357176,32.55383105258582,SE,Winter,Dec,low,13.284745
A,7.0,40.4191,35.58878599422671,37.25720766097301,36.973293613125854,28.28059122887204,32.28424765542799,SE,Winter,Dec,low,12.39771
A,9.0,40.4191,35.40478759543613,37.19400195407251,36.91960992341817,27.94251506277917,32.01234821505652,SE,Winter,Dec,low,12.784859
A,15.9,39.9353,35.22078919664555,37.12765591947426,36.85990728917108,27.601607361078567,31.73813273147141,SE,Winter,Dec,low,16.76541
A,18.0,39.7497,35.03679079785496,37.05816955717825,36.794185710384596,27.256279248937684,31.46160120467266,SE,Winter,Dec,low,17.904472
A,17.3,39.7497,34.852792399064384,36.98554286718449,36.722445187058696,26.911324633649475,31.182753634660276,SE,Winter,Dec,low,16.855753
A,15.0,39.7497,34.59252800831162,36.90977584949298,36.57585464187302,26.56833239004649,30.90159002143425,SE,Winter,Dec,low,14.561838
A,8.7,37.9277,34.28249521643783,36.82953511544015,36.42036571756429,26.228339359818737,30.61462193218794,SE,Winter,Dec,low,9.03619
A,9.0,37.9277,33.97246242456404,36.744820665026,36.2559784141325,25.891345542966224,30.32184936692134,SE,Winter,Dec,low,8.371921
A,4.9,35.8697,33.66242963269025,36.65563249825052,36.08269273157765,25.55735093948896,30.02327232563445,SE,Winter,Dec,low,5.407349
A,4.5,35.8697,33.35239684081645,36.561970615113715,35.90050866989974,25.226355549386934,29.718890808327277,SE,Winter,Dec,low,4.4255443
A,2.9,30.3976,33.04236404894266,36.46383501561558,35.70942622909878,24.89835937266015,29.40870481499982,SE,Winter,Dec,low,3.1689684
A,1.5,29.672,32.73233125706888,36.361225699756126,35.50944540917476,24.5733624093086,29.09271434565207,SE,Winter,Dec,low,2.2555463
A,4.9,31.104,32.42229846519506,36.254142667535355,35.30056621012768,24.251364659332292,28.770919400284033,SE,Winter,Dec,low,2.5900483
A,6.0,31.7893,32.112265673321275,36.14258591895325,35.08278863195754,23.932366122731228,28.443319978895712,SE,Winter,Dec,low,2.3526337
A,11.8,38.8381,31.80223288144748,36.026555454009824,34.856112674664345,23.616366799505403,28.1099160814871,SE,Winter,Dec,low,4.925856
A,13.5,39.3313,31.49220008957369,35.90605127270508,34.62053833824809,23.301777814822273,27.7707077080582,SE,Winter,Dec,low,5.2357745
A,24.0,40.4191,31.182167297699895,35.781073375039,34.376065622708786,22.991272192042572,27.39046492876382,SE,Winter,Dec,low,10.124832
A,24.0,39.3313,30.795868513863926,35.651621761011604,34.12269452804642,22.686438805998836,27.012988260964192,SE,Winter,Dec,low,8.797421
A,18.0,31.7893,30.556285077946033,35.51800265310768,33.867007390170414,22.384221086942784,26.632164565162736,SE,Winter,Dec,low,4.972821
A,18.0,31.7893,30.316701642028143,35.38021605132724,33.60900420908077,22.084619034874407,26.24799384135945,SE,Winter,Dec,low,3.9210668
A,16.1,30.3976,30.07711820611025,35.238261955670275,33.34868498477749,21.787632649793707,25.860476089554336,SE,Winter,Dec,low,2.3431213
A,15.0,30.3976,29.83753477019236,35.09214036613678,33.08604971726057,21.493261931700687,25.46961130974739,SE,Winter,Dec,low,1.2569234
A,15.4,33.7013,29.597951334274462,34.94185128272677,32.82109840653002,21.201506880595346,25.07539950193861,SE,Winter,Dec,low,0.82828873
A,16.5,33.7013,29.358367898356573,34.78739470544024,32.55383105258582,20.912367496477682,24.677840666128002,SE,Winter,Dec,low,0.68178564
A,13.9,29.672,29.11878446243868,34.62877063427718,32.28424765542799,20.625843779347694,24.276934802315562,SE,Winter,Dec,low,-0.19999768
A,13.5,29.672,28.879201026520786,34.46597906923761,32.01234821505652,20.341935729205385,23.872681910501296,SE,Winter,Dec,low,-0.46952975
A,13.5,28.9291,28.639617590602896,34.29902001032151,31.73813273147141,20.060643346050757,23.465081990685196,SE,Winter,Dec,low,-0.6493203
A,13.5,28.9291,28.400034154685,34.12789345752889,31.46160120467266,19.78037775505126,23.050957293202178,SE,Winter,Dec,low,-0.8258761
A,13.5,23.4385,28.16045071876711,33.952599410859754,31.182753634660276,19.507073477528326,22.639895632638144,SE,Winter,Dec,low,-0.94346863
A,13.5,23.4385,27.84460129088705,33.7387223316539,30.90159002143425,19.2423193883145,22.23507475865819,SE,Winter,Dec,low,-0.96496296
A,9.1,16.5692,27.395261074526353,33.51749382487638,30.61462193218794,18.988896545503128,21.842056787449,SE,Winter,Dec,low,-0.9830366
A,9.0,15.8753,26.94592085816566,33.28891389052719,30.32184936692134,18.74680494909421,21.460841719010585,SE,Winter,Dec,low,-0.95574385
A,11.2,18.7532,26.496580641804975,33.05298252860632,30.02327232563445,18.516044599087746,21.09142955334293,SE,Winter,Dec,low,-0.8715749
A,10.5,18.7532,26.047240425444283,32.80969973911378,29.718890808327277,18.29661549548373,20.73382029044605,SE,Winter,Dec,low,-0.87055194
A,11.6,18.0094,25.597900209083594,32.559065522049565,29.40870481499982,18.088517638282177,20.38801393031994,SE,Winter,Dec,low,-0.81753534
A,12.0,18.0094,25.148559992722905,32.30107987741368,29.09271434565207,17.891751027483075,20.054010472964595,SE,Winter,Dec,low,-0.7075601
A,12.0,14.5453,24.699219776362206,32.03574280520612,28.770919400284033,17.70631566308643,19.73180991838002,SE,Winter,Dec,low,-0.6181596
A,12.0,14.5453,24.24987956000152,31.76305430542689,28.443319978895712,17.532211545092235,19.42141226656621,SE,Winter,Dec,low,-0.53942585
A,12.0,9.11529,23.800539343640832,31.48301437807599,28.1099160814871,17.369438673500493,19.12281751752317,SE,Winter,Dec,low,-0.4270741
A,12.0,9.11529,23.35119912728014,31.195623023153413,27.7707077080582,17.216408173478666,18.83284792158581,SE,Winter,Dec,low,-0.29242304
A,6.3,7.8349600000000015,22.05634059463477,30.883265275736566,27.39046492876382,17.091932181402957,18.592079455320782,SE,Winter,Dec,low,-0.065854594
A,6.0,7.8349600000000015,21.736428486672946,30.567841394505574,27.012988260964192,16.975699313425803,18.359889351032944,SE,Winter,Dec,low,0.04352462
A,9.0,8.67424,21.416516378711126,30.24958597766684,26.632164565162736,16.867709569547202,18.13627760872229,SE,Winter,Dec,low,0.19419126
A,9.0,8.67424,21.096604270749314,29.928499025220376,26.24799384135945,16.76796294976715,17.921244228388822,SE,Winter,Dec,low,0.30783677
A,11.0,11.0495,20.77669216278749,29.604580537166175,25.860476089554336,16.67645945408565,17.714789210032542,SE,Winter,Dec,low,0.446867
A,10.5,11.0495,20.456780054825675,29.27783051350424,25.46961130974739,16.593199082502696,17.516912553653448,SE,Winter,Dec,low,0.49857813
A,15.0,6.66448,20.136867946863855,28.948248954234575,25.07539950193861,16.5181818350183,17.32761425925154,SE,Winter,Dec,low,0.6371823
A,15.0,6.66448,19.816955838902032,28.615835859357176,24.677840666128002,16.451407711632456,17.14689432682682,SE,Winter,Dec,low,0.72090733
A,10.5,5.2253300000000005,19.497043730940216,28.28059122887204,24.276934802315562,16.39287671234516,16.974752756379285,SE,Winter,Dec,low,0.5638946
A,10.5,4.88318,19.177131622978397,27.94251506277917,23.872681910501296,16.342588837156416,16.81118954790894,SE,Winter,Dec,low,0.57878375
A,13.5,4.88318,18.857219515016574,27.601607361078567,23.465081990685196,16.300544086066225,16.656204701415778,SE,Winter,Dec,low,0.7872717
A,13.5,4.54801,18.46104141509259,27.256279248937684,23.050957293202178,16.26674245907458,16.5097982168998,SE,Winter,Dec,low,0.8132013
A,17.9,3.00493,18.294970865230344,26.911324633649475,22.639895632638144,16.237983613455214,16.374251322417965,SE,Winter,Dec,low,1.0695955
A,19.5,3.00493,18.128900315368096,26.56833239004649,22.23507475865819,16.214267549208113,16.24956401797027,SE,Winter,Dec,low,1.213607
A,18.8,2.00986,17.962829765505848,26.228339359818737,21.842056787449,16.195594266333288,16.135736303556715,SE,Winter,Dec,low,1.1936052
A,19.5,2.00986,17.796759215643604,25.891345542966224,21.460841719010585,16.18196376483073,16.0327681791773,SE,Winter,Dec,low,1.2722055
A,19.4,1.43291,17.63068866578136,25.55735093948896,21.09142955334293,16.173376044700444,15.940659644832023,SE,Winter,Dec,low,1.3059216
A,19.5,1.2598200000000002,17.464618115919116,25.226355549386934,20.73382029044605,16.169831105942425,15.859410700520884,SE,Winter,Dec,low,1.3513167
A,21.0,2.2335,17.298547566056868,24.89835937266015,20.38801393031994,16.17132894855668,15.789021346243885,SE,Winter,Dec,low,1.4601748
A,21.0,2.2335,17.132477016194624,24.5733624093086,20.054010472964595,16.177869572543212,15.729491582001025,SE,Winter,Dec,low,1.493463
A,21.0,1.2598200000000002,16.966406466332376,24.251364659332292,19.73180991838002,16.189452977902008,15.680821407792303,SE,Winter,Dec,low,1.5039569
A,21.0,1.2598200000000002,16.80033591647013,23.932366122731228,19.42141226656621,16.206079164633078,15.643010823617722,SE,Winter,Dec,low,1.5185459
A,21.1,1.08366,16.634265366607888,23.616366799505403,19.12281751752317,16.227748132736416,15.61605982947728,SE,Winter,Dec,low,1.5420969
A,21.0,1.08366,16.391928824783463,23.301777814822273,18.83284792158581,16.254459882212025,15.59996842537098,S,Winter,Dec,low,1.699613
A,20.5,1.61208,16.27789740427412,22.991272192042572,18.592079455320782,16.286985717040523,15.591784907484593,S,Winter,Dec,low,1.6419502
A,19.5,1.61208,16.163865983764783,22.686438805998836,18.359889351032944,16.325325637221905,15.591509275818124,S,Winter,Dec,low,1.5307635
A,23.5,2.00986,16.04983456325544,22.384221086942784,18.13627760872229,16.369479642756176,15.59914153037157,S,Winter,Dec,low,1.99349
A,24.0,2.00986,15.935803142746096,22.084619034874407,17.921244228388822,16.419447733643334,15.614681671144936,S,Winter,Dec,low,2.0501053
A,29.4,3.00493,15.821771722236754,21.787632649793707,17.714789210032542,16.475229909883378,15.638129698138217,S,Winter,Dec,low,2.7961187
A,28.5,3.29181,15.707740301727412,21.493261931700687,17.516912553653448,16.53682617147631,15.669485611351412,S,Winter,Dec,low,2.639259
A,30.1,3.90096,15.593708881218069,21.201506880595346,17.32761425925154,16.604236518422127,15.708749410784526,S,Winter,Dec,low,2.9377635
A,30.0,3.90096,15.47967746070873,20.912367496477682,17.14689432682682,16.677460950720832,15.755921096437554,S,Winter,Dec,low,2.9301734
A,33.0,3.591,15.365646040199387,20.625843779347694,16.974752756379285,16.763376329890306,15.811000668310498,S,Winter,Dec,low,3.5521047
A,33.0,3.591,15.251614619690045,20.341935729205385,16.81118954790894,16.853516919580127,15.873988126403361,S,Winter,Dec,low,3.548331
A,30.0,3.00493,15.137583199180703,20.060643346050757,16.656204701415778,16.944127488963108,15.944883470716137,S,Winter,Dec,low,2.960003
A,30.0,3.00493,14.94728578670919,19.78037775505126,16.5097982168998,17.036796912871797,16.02368670124883,SW,Winter,Dec,low,2.6431468
A,30.9,4.54801,15.04184539766629,19.507073477528326,16.374251322417965,17.125590669984764,16.10171590449193,SW,Winter,Dec,low,2.7929938
A,31.5,4.54801,15.136405008623392,19.2423193883145,16.24956401797027,17.210508760302016,16.178971080445425,SW,Winter,Dec,low,2.9088488
A,34.2,5.57428,15.230964619580492,18.988896545503128,16.135736303556715,17.29155118382354,16.255452229109327,SW,Winter,Dec,low,3.4537168
A,34.5,5.57428,15.325524230537596,18.74680494909421,16.0327681791773,17.36871794054935,16.331159350483627,SW,Winter,Dec,low,3.5186996
A,34.5,4.2203300000000015,15.42008384149469,18.516044599087746,15.940659644832023,17.442009030479433,16.406092444568333,SW,Winter,Dec,low,3.5251443
A,34.5,4.2203300000000015,15.514643452451798,18.29661549548373,15.859410700520884,17.5114244536138,16.480251511363438,SW,Winter,Dec,low,3.524272
A,34.5,5.93015,15.609203063408893,18.088517638282177,15.789021346243885,17.57696420995244,16.55363655086895,SW,Winter,Dec,low,3.5209901
A,34.5,5.93015,15.703762674365997,17.891751027483075,15.729491582001025,17.638628299495362,16.626247563084863,SW,Winter,Dec,low,3.5164447
A,34.5,5.93015,15.798322285323096,17.70631566308643,15.680821407792303,17.696416722242564,16.698084548011177,SW,Winter,Dec,low,3.5119553
A,34.5,5.93015,15.892881896280196,17.532211545092235,15.643010823617722,17.7487406033615,16.769147505647897,SW,Winter,Dec,low,3.5077374
A,34.5,4.2203300000000015,15.987441507237298,17.369438673500493,15.61605982947728,17.80310770219153,16.839436435995015,SW,Winter,Dec,low,3.5025773
A,34.5,4.2203300000000015,16.005735126232224,17.216408173478666,15.59996842537098,17.861106893565196,16.90895133905254,SW,Winter,Dec,low,3.5002353
A,34.5,4.2203300000000015,16.081492975000874,17.091932181402957,15.591784907484593,17.92154100602888,16.98218652659592,SW,Winter,Dec,low,3.4915693
