farm,availableMW,y,windspeed,speed_rolling_lag1,speed_rolling_lag2,speed_rolling_n1,speed_rolling_n2,change_lag,change_n,windDic_cat,season,Months,windspeed_cat,preds
A,39.0,39.7497,450.52104140654376,445.6488801168617,440.2718581103279,398.8382235105999,432.37703981042984,0.023279215119962338,-0.040273372225784754,SE,Winter,Dec,very_high,37.603283
A,39.0,38.559,449.3806129621824,445.9279910625783,440.21283935795213,396.2229974873469,430.53894630655446,0.020825775135503655,-0.04192808081200772,SE,Winter,Dec,very_high,37.523247
A,39.0,38.559,448.24018451782075,446.14080150551416,440.1532407243845,393.5208674526102,428.59566169061867,0.01837301886072029,-0.04382588510740959,SE,Winter,Dec,very_high,37.408707
A,37.5,36.7792,447.09975607345916,446.2873114456691,440.09306220962503,390.73183340639,426.54718596262245,0.015920936877884095,-0.045968645322767454,SE,Winter,Dec,very_high,39.770382
A,37.5,36.7792,445.95932762909774,446.36752088304326,440.03230381367365,387.85589534868615,424.3935191225658,0.013469519769470972,-0.048358240696936616,SE,Winter,Dec,very_high,39.64002
A,34.4,37.1902,444.8188991847362,446.3814298176366,439.9709655365304,384.8930532794987,422.13466117044874,0.011018758118036098,-0.05099656974077116,SE,Winter,Dec,very_high,44.647648
A,34.5,37.1902,443.6784707403745,446.32903824944907,439.9090473781953,381.84330719882763,419.7706121062713,0.008568642506092017,-0.05388555048480881,SE,Winter,Dec,very_high,44.4457
A,34.8,38.8381,442.53804229601286,446.21034617848073,439.84654933866835,378.70665710667294,417.3013719300334,0.006119163515983628,-0.057027120730783865,SE,Winter,Dec,very_high,43.82432
A,34.5,38.8381,441.3976138516515,446.0253536047316,439.78347141794956,375.48310300303456,414.7269406417351,0.0036703117297647303,-0.06042323830703833,SE,Winter,Dec,very_high,44.208885
A,33.9,34.8429,440.25718540728985,445.7740605282016,439.7198136160389,372.1726448879126,412.0473182413764,0.0012220777290699036,-0.06407588132790154,SE,Winter,Dec,very_high,45.15492
A,30.0,34.8429,439.11675696292826,445.45646694889075,439.6555759329364,368.775282761307,409.26250472895725,-0.0012255479050045093,-0.06798704845711778,SE,Winter,Dec,very_high,50.73882
A,20.1,31.7893,437.9763285185668,445.07257286679913,439.59075836864196,365.0827834468732,406.3725001044777,-0.0036725745920284103,-0.07215875917538161,SE,Winter,Dec,very_high,56.474087
A,15.7,31.104,435.9343308787432,444.6223782819266,439.5253609231557,361.35403820257096,403.37730436793777,-0.008170245368481321,-0.07468332775071407,SE,Winter,Dec,very_high,57.598415
A,10.4,29.672,433.75921607205174,444.13506069316855,439.38881125311553,357.59182030271,400.3547298067992,-0.012812331668183519,-0.07701158852081602,SE,Winter,Dec,very_high,57.486
A,9.0,28.9291,431.5841012653604,443.610620100525,439.1811093585213,353.7961297472905,397.3047764210619,-0.0172981212790716,-0.0794267553966771,SE,Winter,Dec,very_high,56.935402
A,10.0,35.3709,429.408986458669,443.0490565039958,438.90225523937323,349.9669665363124,394.22744421072593,-0.02162957393674514,-0.08193014901268103,SE,Winter,Dec,very_high,56.698837
A,9.0,35.8697,427.23387165197755,442.450369903581,438.5522488956711,346.10433066977566,391.1227331757914,-0.025808503484350154,-0.08452311689744041,SE,Winter,Dec,very_high,56.192314
A,7.2,37.5728,425.05875684528627,441.81456029928063,438.13109032741505,342.20822214768026,387.9906433162582,-0.029836580353975406,-0.08720703416191522,SE,Winter,Dec,very_high,55.616135
A,7.5,37.5728,422.88364203859487,441.1416276910947,437.63877953460496,338.27864097002623,384.8311746321263,-0.03371533370900326,-0.0899833042087631,SE,Winter,Dec,very_high,55.330868
A,7.0,40.4191,420.7085272319034,440.43157207902306,437.07531651724094,334.3155871368136,381.6443271233957,-0.03744615325283851,-0.09285335946369988,SE,Winter,Dec,very_high,54.933384
A,9.0,40.4191,418.53341242521213,439.684393463066,436.4407012753229,330.3190606480423,378.43010079006655,-0.04103029070795616,-0.09581866212966128,SE,Winter,Dec,very_high,54.789433
A,15.9,39.9353,416.3582976185207,438.90009184322327,435.73493380885094,326.2890615037124,375.1884956321387,-0.04446886096773328,-0.09888070496460455,SE,Winter,Dec,very_high,55.187984
A,18.0,39.7497,414.1831828118292,438.078667219495,434.95801411782503,322.2068070122517,371.9195116496123,-0.047762842922048465,-0.1020410120838201,SE,Winter,Dec,very_high,54.30305
A,17.3,39.7497,412.0080680051379,437.2201195918812,434.1099422022451,318.12896776864017,368.62314884248707,-0.05091307995616079,-0.10530113978765532,SE,Winter,Dec,very_high,54.001057
A,15.0,39.7497,408.9313840029843,436.3244489603817,432.3770398104302,314.0743264644499,365.29940721076326,-0.05422502503307136,-0.10669755000242931,SE,Winter,Dec,very_high,53.51594
A,8.7,37.9277,405.2663688691729,435.37589283225606,430.5389463065548,310.05513999825706,361.9070486681326,-0.058699863634141924,-0.10698968266729647,SE,Winter,Dec,very_high,51.8229
A,9.0,37.9277,401.60135373536144,434.3744512075043,428.59566169061895,306.0714083700617,358.4460732145951,-0.06298315724610226,-0.10745800560523966,SE,Winter,Dec,very_high,50.936516
